SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
PORSCHE 21A (S1)-LS,PORSCHE,21A,BRITISH RACING GREEN,NA,
PORSCHE 26A (S1)-LS,PORSCHE,26A,BROOKLAND GREEN,NA,
PORSCHE 548 (S1)-LS,PORSCHE,548,APRICOTBEIGE,NA,
PORSCHE 39D (S1)-LS,PORSCHE,39D,AMARANTVIOLETT,NA,
PEUGEOT ENZ (S1)-LS,PEUGEOT,ENZ,BLEU SQUADRON,NA,
PORSCHE 11A (S1)-LS,PORSCHE,11A,GELB,NA,
PORSCHE 84P (S1)-LS,PORSCHE,84P,DUNKELROT,NA,
PORSCHE 12B (S1)-LS,PORSCHE,12B,CAMELGELB,NA,
PORSCHE 3AT (S1)-LS,PORSCHE,3AT,FIRNWEISS,NA,
PORSCHE 92R (S1)-LS,PORSCHE,92R,GRAND PRIX WEISS,NA,
PORSCHE 11U (S1)-LS,PORSCHE,11U,GELB,NA,
PORSCHE 11P (S1)-LS,PORSCHE,11P,GELB,NA,
PORSCHE 23U (S1)-LS,PORSCHE,23U,DARK GREEN,NA,
PORSCHE 3BK (S1)-LS,PORSCHE,3BK,BUGATTIBLAU,NA,
PORSCHE 347 (S1)-LS,PORSCHE,347,DUNKELBLAU,NA,
PORSCHE 610 (S1)-LS,PORSCHE,610,GRUEN,NA,
PORSCHE M9A (S1)-LS,PORSCHE,M9A,KREIDE,NA,
PORSCHE 3B4 (S1)-LS,PORSCHE,3B4,GULFBLAU,NA,
PORSCHE 019 (S1)-LS,PORSCHE,019,GULF ORANGE,NA,
PORSCHE M2A (S1)-LS,PORSCHE,M2A,LAVAORANGE,NA,
PORSCHE 80K (S1)-LS,PORSCHE,80K,INDISCHROT,NA,
PORSCHE LY5B (S1)-LS,PORSCHE,LY5B,KOPENHAGENBLAU,NA,
PORSCHE 22X (S1)-LS,PORSCHE,22X,JADEGRUEN,NA,
PORSCHE 499 (S1)-LS,PORSCHE,499,KERAMIKBEIGE,NA,
PORSCHE 23H (S1)-LS,PORSCHE,23H,PASTELLGRUEN,NA,
PORSCHE 3A6 (S1)-LS,PORSCHE,3A6,NAUTIKBLAU,NA,
PORSCHE 22C (S1)-LS,PORSCHE,22C,MURANOGRUEN,NA,
PORSCHE 38B (S1)-LS,PORSCHE,38B,MARITIMBLAU,NA,
PORSCHE M5C (S1)-LS,PORSCHE,M5C,MIAMIBLAU,NA,
PORSCHE 61H (S1)-LS,PORSCHE,61H,MODEGRAU,NA,
PORSCHE 60M (S1)-LS,PORSCHE,60M,LEINENGRAU,NA,
PORSCHE 81F (S1)-LS,PORSCHE,81F,MALVENROT,NA,
PORSCHE 012 (S1)-LS,PORSCHE,012,POLOROT,NA,
PORSCHE 856 (S1)-LS,PORSCHE,856,MARSROT,NA,
PORSCHE 12L (S1)-LS,PORSCHE,12L,PASTELLGELB,NA,
PORSCHE 536 (S1)-LS,PORSCHE,536,PASTELLBEIGE,NA,
PORSCHE 22R (S1)-LS,PORSCHE,22R,MINTGRUEN,NA,
PORSCHE 81Z (S1)-LS,PORSCHE,81Z,ORIENTROT,NA,
PORSCHE 38H (S1)-LS,PORSCHE,38H,VIOLABLAU,NA,
PORSCHE 36T (S1)-LS,PORSCHE,36T,VIOLETT,NA,
PORSCHE 21M (S1)-LS,PORSCHE,21M,TUERKIS,NA,
PORSCHE 22S (S1)-LS,PORSCHE,22S,SIGNALGRUEN,NA,
PORSCHE 24L (S1)-LS,PORSCHE,24L,SMARAGD GRUEN,NA,
PORSCHE 527 (S1)-LS,PORSCHE,527,SANDGRAU,NA,
PORSCHE 12G (S1)-LS,PORSCHE,12G,SPEEDGELB,NA,
